"","time","cif.control","cif.control.lower","cif.control.upper","cif.exposure","cif.exposure.lower","cif.exposure.upper"
"1",0.0027378508,0.0441675688424355,0.0263519318932435,0.0622574444660004,0.0344891142956659,0.0254959059032225,0.0654842020941181
"2",0.1505817933,0.0466835787669961,0.0272293268632315,0.0643929912277492,0.0364549703291667,0.0268079195205712,0.068153452939322
"3",0.1861738535,0.0485399280031316,0.0286903807523622,0.0664950538953317,0.0379060519833909,0.027672021718216,0.071292780385692
"4",0.1998631075,0.0503594050178813,0.0300696812348086,0.069919696646371,0.039328931352309,0.0292228408109438,0.0741191858246302
"5",0.2381930185,0.054629995914104,0.0315084838883608,0.0739279179662418,0.042672081679584,0.0307289716554656,0.0800618473117674
"6",0.2409308693,0.0567654341920537,0.0331884395410974,0.0758443379438052,0.0443446300770221,0.0323218341710271,0.0825175463253622
"7",0.3039014374,0.0590127443025724,0.0351409636087223,0.0774506850744,0.0461057571585853,0.0340119614611205,0.086729886158814
"8",0.3312799452,0.0611036597549358,0.0351751351860479,0.0810603745831718,0.0477451545758053,0.034412455059679,0.0889918265478432
"9",0.3449691992,0.0629599842802323,0.0365138744375636,0.0810603745831718,0.0492012755477976,0.0360424473248152,0.0900324904989028
"10",0.3504449008,0.0647815958808995,0.0371167657359901,0.0839788868997593,0.0506308008009134,0.0378504614224481,0.0922944808670228
"11",0.3641341547,0.0666200537284756,0.0408805948054641,0.0875340495708754,0.0520741930963181,0.03966274012969,0.0962801427551981
"12",0.3668720055,0.0686848651103661,0.0424683383881779,0.0879583915610796,0.0536961159807334,0.0428895719877131,0.0965867497131897
"13",0.3915126626,0.0707590456845149,0.0440919184508932,0.0892952462115832,0.05532622621907,0.0429593037995267,0.102109935500687
"14",0.4052019165,0.0747464776634583,0.0471298040044891,0.0924490501098736,0.0584630463153363,0.0454552182245456,0.106093277764981
"15",0.4161533196,0.0787014891977273,0.0505914257195273,0.0968870979111302,0.0615774029722675,0.0474083349197799,0.107844722149533
"16",0.4435318275,0.0806087931080646,0.0510857774086401,0.0978805228855093,0.0630800103608816,0.0488877114409006,0.109108883753236
"17",0.4572210815,0.0835459198843991,0.0561963647760136,0.103507358332249,0.0653956184564078,0.0525928171636852,0.11424102898681
"18",0.462696783,0.0853803947232417,0.0561971364033562,0.104962763397474,0.0668425645690644,0.0534472833862693,0.11424102898681
"19",0.4818617385,0.0872508714124029,0.0598304811388845,0.107398986188524,0.0683185954195116,0.0551345885534675,0.117969074065492
"20",0.501026694,0.0890853388198862,0.0607118553986186,0.109383816132193,0.0697668742186121,0.0551736192107253,0.118452744561378
"21",0.5311430527,0.0914839936904862,0.0623974933996949,0.112759378196527,0.071661706951876,0.0551736192107253,0.120515677575851
"22",0.5393566051,0.0955779459873405,0.0659522513931191,0.116069736622629,0.0748990839907438,0.058038764548777,0.12559784626123
"23",0.5585215606,0.0978445839195598,0.0661365014732171,0.119704340533517,0.0766924997440697,0.0598541871074789,0.129281326524618
"24",0.5694729637,0.0996824287040363,0.0699200152409291,0.12241058249904,0.07814732025968,0.0604849212182883,0.131266637301366
"25",0.5776865161,0.101538121615015,0.0710018810520909,0.125798717056992,0.0796169598238383,0.0620505418900893,0.13331823084303
"26",0.5968514716,0.103704816593364,0.0737766134022618,0.126507861701154,0.0813338457205091,0.0677166766198389,0.137339965326693
"27",0.6132785763,0.10579368933134,0.0756616381905537,0.126593105414908,0.0829899456011343,0.0684181307499775,0.137339965326693
"28",0.6899383984,0.107161752226624,0.0771542762717795,0.132190846905401,0.0840749513895672,0.0700125029100712,0.141977372444175
"29",0.7008898015,0.108891080769665,0.0777583120852979,0.134317504094583,0.0854470815575671,0.0721644667061627,0.144253233519835
"30",0.7091033539,0.110752995019009,0.0800286442614389,0.135800429771699,0.086925115578255,0.0738054892678386,0.146225204199635
"31",0.7118412047,0.112554514117474,0.0820582461890357,0.136643259396963,0.0883558672817847,0.0752708376030725,0.15000564288566
"32",0.7173169062,0.112554514117474,0.0820582461890357,0.136643259396963,0.0883558672817847,0.0752708376030725,0.15000564288566
"33",0.733744011,0.114424368406831,0.0828046877623892,0.138669687883757,0.0898419650359421,0.0764198348316354,0.150151918259568
"34",0.7665982204,0.116225962299161,0.0844542901249266,0.140663070516156,0.0912744775558995,0.0784688700457365,0.153641594583559
"35",0.8076659822,0.118273944811631,0.0844542901249266,0.143837260198886,0.0929037654527139,0.0793356793780153,0.158349355297767
"36",0.8240930869,0.121908957597644,0.0852624272471126,0.145553374513615,0.0957983588852366,0.0808561975716019,0.158427884034982
"37",0.8268309377,0.121908957597644,0.0852624272471126,0.145553374513615,0.0957983588852366,0.0808561975716019,0.158427884034982
"38",0.8350444901,0.123722528818573,0.0879551263084355,0.147329421631608,0.0972433665058978,0.0810326676052251,0.160948042488382
"39",0.8542094456,0.125442361522302,0.0885578252511494,0.147641449316274,0.0986143010026553,0.0840357491302666,0.166697262826174
"40",0.8678986995,0.129841997472819,0.0917147922428114,0.154544330655142,0.102125444472463,0.0867016748566299,0.170575008349513
"41",0.8815879535,0.13167992107246,0.0938416854353032,0.155535176322397,0.103592914238105,0.0880584285569984,0.173040326051104
"42",0.8980150582,0.13167992107246,0.0938416854353032,0.155535176322397,0.103592914238105,0.0880584285569984,0.173040326051104
"43",0.9062286105,0.133809183161178,0.0966949234166179,0.15752574993365,0.105294764009137,0.0892716275398916,0.176519808288985
"44",0.9089664613,0.135941681851042,0.0972559213261057,0.158524627645098,0.107000165343017,0.0922996858194522,0.17712539946572
